V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.263376878,-0.184021308,-0.080637444,0.186811849,0.100681357,-0.093814753,0.066689101,-0.280506762,-0.287841519,-0.432435644,-0.271404404,0.186996835,0.08945605,0.584758991,-0.454781096,-0.187496456,-0.50842815,0.368186447,-0.27764527,0.061643461
0.292832814,-0.163814432,0.053692168,0.206310039,0.246773635,-0.110339808,-0.034081461,-0.204250038,-0.20449236,-0.513772023,-0.28640871,0.166306731,0.063397189,0.495823144,-0.356653488,-0.269339987,-0.476766801,0.425339668,-0.339961482,0.182072319
0.328687753,-0.072339439,-0.011734663,0.403583632,0.306921873,-0.073169668,-0.084871414,0.032585074,-0.05022142,-0.595358148,-0.314909103,0.178498247,0.115400581,0.524205301,-0.352070698,-0.293654479,-0.474351709,0.45702794,-0.331175176,0.23814813
0.285062736,-0.067175017,-0.040297017,0.537671934,0.258529478,-0.090603666,0.001067077,0.047978418,-0.038256234,-0.505840575,-0.417197359,0.196309527,0.003600853,0.476684779,-0.334084908,-0.349387168,-0.460290902,0.504363998,-0.228634348,0.198808909
0.240709613,0.098900585,-0.015353701,0.474767128,0.184790891,-0.118999613,0.040216858,0.080939938,0.142520653,-0.371935272,-0.47281884,0.148406423,-0.121064432,0.529351647,-0.388452345,-0.43684528,-0.338155332,0.531766132,-0.148902903,0.294288119
0.122295755,-0.091758247,-0.02420455,0.285116401,0.206441752,-0.098365207,0.263803743,-0.027345443,0.055898852,-0.188301393,-0.426179681,0.047370665,-0.171730325,0.496626253,-0.384826767,-0.472547841,-0.419676605,0.414558601,-0.080871185,0.243887153
0.089095538,-0.146062796,-0.086989587,0.277119454,0.368432882,-0.080306986,0.262463099,-0.114577545,0.086941217,-0.209536041,-0.413726332,0.080022874,-0.091830666,0.410540378,-0.389618929,-0.371224212,-0.61776307,0.344299629,-0.034810637,0.162072292
-0.048239141,-0.217951456,-0.006645143,0.295906434,0.410883249,-0.174352424,0.095304129,-0.046432756,0.154382659,-0.159207819,-0.607745627,0.251829681,-0.261763295,0.400461948,-0.211385054,-0.361745675,-0.64063686,0.247178954,-0.134634579,0.30785069
-0.136285142,-0.068308665,-0.03793967,0.30612058,0.282574149,-0.068837482,0.0172459,-0.088698382,0.150241666,-0.077777626,-0.696806314,0.189355359,-0.130751844,0.311560175,-0.149957305,-0.263949912,-0.620772425,0.263213476,-0.139267463,0.257318668
9,0.002299683,-0.177203578,0.236839653,0.137124512,-0.012802635,0.065336046,-0.080096578,0.019468057,-0.185177891,-0.65928151,0.232441077,-0.002193042,0.26183038,-0.134517831,-0.095872385,-0.781505771,0.095711058,-0.071548929,0.237463312
-0.112433879,0.034764822,-0.105663024,0.255449977,0.237201253,-0.080747661,0.232959877,-0.018908383,0.001121013,-0.125894581,-0.633634612,0.271858415,0.027151951,0.320755335,-0.295810992,-0.065899966,-0.782335024,-0.019597517,-0.056492691,0.253039216
-0.083714487,0.147120894,-0.098394324,0.126913981,0.277677824,0.006695755,0.268619726,-0.125095082,0.086588683,-0.090501821,-0.64058618,0.359227836,0.094713024,0.32175701,-0.400162342,-0.190336366,-0.824412788,-0.072344515,-0.129299772,0.35480688
-0.022152227,0.294678448,-0.000516381,0.141531977,0.326235037,0.065576072,0.171756397,-0.188796038,-0.048687412,-0.157271734,-0.675910208,0.274493891,0.087680028,0.317767613,-0.284958214,-0.187722012,-0.766248668,0.020509062,-0.120785386,0.467707397
-0.009234147,0.282456588,0.145452719,0.134285789,0.24716196,0.025173577,0.022153309,-0.196887346,-0.158202374,-0.137954888,-0.614045241,0.297108793,0.11449554,0.293126365,-0.323782407,-0.135880995,-0.730230098,0.05043435,-0.137915415,0.475446292
0.013454415,0.232211911,0.270159402,0.187989665,0.225399242,0.238940519,0.024509554,-0.335799172,-0.108798255,-0.099195231,-0.593062988,0.304828695,0.093122665,0.2517138,-0.459958322,-0.124196823,-0.670405914,-0.044586572,-0.271683827,0.386677472
0.009562618,0.105588163,0.301220525,0.043382439,0.182178455,0.213299164,-0.006076374,-0.284325996,0.086481253,-0.098751,-0.579863838,0.33306682,0.214071059,0.235548386,-0.386447502,-0.176998525,-0.59322933,-0.051868362,-0.325501881,0.398996574
-0.040624987,0.166888754,0.274943358,0.070250079,0.06710821,0.125387936,-0.014411958,-0.162127403,0.13937537,-0.157167316,-0.445624529,0.338713426,0.2397183,0.191138956,-0.239165529,-0.11904662,-0.583780294,-0.053090415,-0.208598498,0.387056904
-0.012152834,0.042586439,0.125442244,0.144274204,-0.026331796,-0.012728115,0.090122201,0.070825242,0.243124367,-0.254497673,-0.47417766,0.337778522,0.168983177,0.335650384,-0.282760627,-0.262657487,-0.542861744,0.011949239,-0.254306825,0.343167699
0.105831784,0.000362454,-0.003408135,0.188322218,-0.001182089,0.006708181,0.10531719,0.050864103,0.257692458,-0.282883236,-0.359740752,0.402022823,-0.020080149,0.469143645,-0.348935488,-0.392365336,-0.505065229,0.173585069,-0.105938312,0.309704497
0.23098958,0.003900506,0.033382771,0.267619092,0.029575257,-0.04786612,0.096528616,0.03049068,0.237026832,-0.269742595,-0.338524828,0.396461525,-0.004776466,0.461575182,-0.38653372,-0.288491625,-0.605575105,0.081073842,-0.081222974,0.436991346
0.040489711,0.042108212,0.029320652,0.490099871,-0.043692468,-0.163698673,0.128690755,-0.019518877,0.216516445,-0.182323064,-0.517598671,0.326935876,0.156963342,0.383949092,-0.382596122,-0.22274913,-0.580884134,0.027740868,-0.13376258,0.501545836
-0.104779693,0.151199152,0.108200332,0.505304901,-0.129237349,-0.036818778,0.162483922,-0.133069272,0.157877234,-0.155700877,-0.495215295,0.347341609,0.041668945,0.312179941,-0.398949362,-0.364816706,-0.66749909,0.062480072,-0.08821105,0.464683388
0.002657957,0.119816932,0.176894544,0.346206123,-0.213537807,-0.029424724,0.279750197,-0.288740821,0.183984443,-0.140408044,-0.407375716,0.277469177,0.054595393,0.262316689,-0.367256697,-0.457287926,-0.66482218,0.082529538,-0.201761919,0.370282968
